rank,addr,persons,income,max_rating,dist_highrating,rate,lat,long
1,"Rua Cleide Iurk, 65 - Bacacheri, Curitiba - PR, 82510-440",1191.63,3110706.45,0.0,1436.69058881,98946.22390569042,-25.388955,-49.234533
2,"Av. Vicente Machado, 1039 - Centro, Curitiba - PR, 80420-011",2207.75,10830081.16,6.1,382.30434299,95914.97846016998,-25.437519,-49.286269
3,"R. Prof. Benedito Nicolau dos Santos, 522 - Centro Cívico, Curitiba - PR, 80530-150",1333.71,3589838.74,,738.38064781,73139.78601308675,-25.413237,-49.270744
4,"R. Imac. Conceição, 247 - Rebouças, Curitiba - PR, 80215-030",1489.91,3216532.29,0.0,1071.7707714,70677.11849441649,-25.442915,-49.255219
5,"R. Ubaldino do Amaral, 334 - Alto da Glória, Curitiba - PR, 80060-195",2208.14,6287645.07,0.0,573.50478963,68191.45200183174,-25.424029,-49.260396
6,"R. Belém, 892 - Cabral, Curitiba - PR, 80035-170",1794.35,6896679.0,,312.11782409,67903.49669394534,-25.402445,-49.25005
7,"R. Mal. Hermes, 910 - Ahú, Curitiba - PR, 80530-230",2148.41,6820238.58,,452.54157812,67532.3162194408,-25.410539,-49.26557
8,"R. Luiz Leitner, 221 - Bigorrilho, Curitiba - PR, 80710-390",2870.19,10818638.78,,309.47516073,66309.36547787736,-25.432123,-49.306969
9,"Rua Lodovico Geronazzo, 159 - Boa Vista, Curitiba - PR, 82560-040",1493.24,3148672.48,,986.62419658,66232.89746985343,-25.391653,-49.239706
10,"Rua Cândido Xavier, 533 - Água Verde, Curitiba - PR, 80240-280",3210.09,10643640.24,,389.88313073,65469.67732180373,-25.451009,-49.291446
11,"R. Mariano Torres, 1007-957 - Centro, Curitiba - PR, 80060-120",2300.8,5049581.19,6.3,850.86069038,64018.533391229525,-25.434821,-49.260394
12,"R. Calixto de Jesus, 95 - Tingui, Curitiba - PR, 82620-270",1428.9,2202716.54,,1710.64831052,63758.36080717049,-25.378163,-49.22419
13,"R. João Negrão, 363 - Centro, Curitiba - PR, 80010-200",3092.03,6868974.69,5.7,818.798878,63567.749548325744,-25.432123,-49.265569
14,"R. Gen. Carneiro, 784 - Alto da Glória, Curitiba - PR, 80060-150",2980.16,6682908.94,5.6,781.60390103,62693.03885110412,-25.429425,-49.260395
15,"Av. Sete de Setembro, 1865 - Rebouças, Curitiba - PR, 80060-070",2292.09,5054900.05,0.0,794.36441139,62157.107439429245,-25.437519,-49.265569
16,"Av. João Gualberto, 570 - Alto da Glória, Curitiba - PR, 80030-000",2049.18,6183966.5,,419.26747296,61792.050234525865,-25.421331,-49.26557
17,"R. Brg. Franco, 2580 - Batel, Curitiba - PR, 80230-050",2557.89,7389412.45,6.0,441.34617383,60690.082360579676,-25.442915,-49.275919
18,"R. Aristides Teixeira, 155 - Centro Cívico, Curitiba - PR, 80530-110",1460.82,3876225.13,,470.85683997,57578.02030080785,-25.418633,-49.270744
19,"R. André Cecone, 16 - Campina do Siqueira, Curitiba - PR, 80740-530",1302.76,2480459.95,7.3,793.43028942,53631.7775899187,-25.440217,-49.312146
20,"Rua 24 de Maio, 1012 - Rebouças, Curitiba - PR, 80220-060",1638.24,3572141.34,,604.04437498,53590.218895356804,-25.445613,-49.270744
21,"Rua Coronel Wallace Scott Murray, 9 - Santa Cândida, Curitiba - PR, 82640-170",1196.48,1731580.07,6.6,1307.0263703,52321.394440248245,-25.380861,-49.229362
22,"R. Luiz Leão, 33 - Centro, Curitiba - PR, 80030-010",3091.57,6867948.15,6.6,531.01191066,51191.75924358342,-25.426727,-49.26557
23,"Av. Prefeito Omar Sabbag, 614 - Jardim Botânico, Curitiba - PR, 80210-000",694.44,1309549.3,6.6,692.4829814,49623.98954093382,-25.440217,-49.250044
24,"R. XV de Novembro, 1948 - Alto da XV, Curitiba - PR, 80045-125",1818.59,4750300.6,5.6,357.9196979,49417.309202887314,-25.426727,-49.255221
25,"R. Prof. Pedro Viriato Parigot de Souza, 999 - Campina do Siqueira, Curitiba - PR, 81200-100",790.46,1866436.8,,432.83742595,49124.2342377143,-25.437519,-49.317321
26,"Av. Silva Jardim, 994 - Rebouças, Curitiba - PR, 80230-000",2087.63,4591237.21,5.6,447.2533586,46510.71411205997,-25.440217,-49.270744
27,"R. São Mateus, 605 - Portão, Curitiba - PR, 81070-080",2187.36,3340562.28,0.0,759.27747503,42082.30939958102,-25.480687,-49.296629
28,"Alameda Dr. Muricy, N° 270 - Sala 105 - Centro, Curitiba - PR, 80010-120",3091.96,6868824.23,6.3,304.20014178,38746.122060985785,-25.434821,-49.270744
29,"Av. República Argentina, 4121 - Portão, Curitiba - PR, 81050-000",2171.21,3595777.24,0.0,356.32577544,31261.842307094175,-25.477989,-49.291452
30,"R. Mario Chaubald Biscaia, 381 - Novo Mundo, Curitiba - PR, 81050-240",2248.87,2339728.69,,882.74173982,30911.350578276473,-25.491479,-49.296629
31,"R. Visc. do Serro Frio, 229 - Novo Mundo, Curitiba - PR, 81050-080",2248.97,2339831.45,,788.75036214,29219.359896315884,-25.486083,-49.296629
32,"Av. Winston Churchill, 670 - Capão Raso, Curitiba - PR, 81130-070",2118.18,2069862.52,6.3,712.42170707,26082.37948594183,-25.502271,-49.296629
33,"R. Pedro Gusso, 3305 - Novo Mundo, Curitiba - PR, 81315-000",2175.47,2188393.16,7.4,635.90901322,25367.036879311327,-25.496875,-49.296629
34,"Av. Brasília, 4925 - Novo Mundo, Curitiba - PR, 81020-010",2248.92,2339780.07,,447.21013536,22001.73094556448,-25.488781,-49.291452
